,zip_code
19934.0,527
21620.0,525
6029.0,525
15208.0,525
2806.0,524
11416.0,524
12186.0,523
18902.0,523
11364.0,523
8085.0,522
7514.0,521
11710.0,521
1720.0,520
7643.0,520
10703.0,520
8690.0,520
3246.0,520
19104.0,519
21629.0,519
17022.0,518
19064.0,518
7205.0,517
7070.0,517
18964.0,517
11727.0,517
20175.0,516
17046.0,516
7006.0,515
26062.0,515
11362.0,515
7108.0,514
13037.0,514
21286.0,513
1020.0,512
14215.0,512
15126.0,511
11366.0,511
8232.0,511
13206.0,511
1845.0,510
7840.0,510
19512.0,509
21804.0,507
19150.0,507
7060.0,507
11235.0,506
22124.0,506
6351.0,506
969.0,506
14903.0,506
8742.0,506
6238.0,505
7452.0,504
13066.0,503
1545.0,503
15963.0,503
8857.0,503
14424.0,502
7871.0,502
2130.0,502
15209.0,500
1776.0,500
14892.0,500
6078.0,500
2703.0,500
11411.0,499
11801.0,498
12804.0,495
2368.0,494
15116.0,493
1104.0,493
10308.0,493
8723.0,493
2910.0,492
19465.0,492
15139.0,491
8096.0,491
11729.0,491
7044.0,490
1810.0,489
21012.0,489
1742.0,488
13204.0,488
6897.0,487
953.0,487
7080.0,487
19713.0,486
44514.0,486
12589.0,485
17406.0,484
18960.0,483
11105.0,483
5156.0,483
8619.0,482
7421.0,482
13210.0,482
19312.0,482
1109.0,482
21666.0,482
15219.0,481
11103.0,481
8846.0,481
12883.0,481
20769.0,480
3079.0,480
19008.0,480
16335.0,479
6114.0,479
20903.0,479
7071.0,479
6795.0,478
10543.0,478
7076.0,478
6013.0,478
15204.0,478
12538.0,478
22520.0,477
10467.0,477
6716.0,477
1902.0,477
18202.0,477
6032.0,476
15423.0,476
3743.0,476
17921.0,476
2905.0,476
7436.0,476
20866.0,474
17551.0,474
2176.0,474
20169.0,473
7726.0,472
15801.0,472
11793.0,472
13209.0,471
2149.0,471
10990.0,471
7035.0,471
19601.0,471
13904.0,471
5149.0,470
10504.0,470
8817.0,469
6098.0,468
11720.0,468
7078.0,468
6410.0,468
20165.0,468
4330.0,468
20636.0,468
10510.0,468
16510.0,467
15033.0,467
11598.0,467
18603.0,466
19406.0,466
17954.0,466
1002.0,465
15089.0,465
1760.0,465
11791.0,465
8618.0,465
2474.0,464
19061.0,464
12083.0,464
11209.0,463
15140.0,463
2467.0,463
8520.0,463
7005.0,463
13032.0,462
10011.0,462
21231.0,462
1581.0,461
10303.0,461
10509.0,459
5201.0,459
21716.0,459
17931.0,458
19014.0,458
10930.0,457
13219.0,457
10987.0,457
6770.0,456
6339.0,456
11554.0,456
15084.0,456
17701.0,456
13031.0,455
7304.0,454
11360.0,454
10992.0,453
6117.0,453
11787.0,453
2136.0,453
16117.0,452
18407.0,452
19807.0,451
11370.0,451
8812.0,450
19804.0,450
7945.0,449
15501.0,449
8030.0,449
17520.0,447
20639.0,447
6096.0,447
7882.0,447
13126.0,447
11951.0,446
17036.0,445
7028.0,445
17055.0,444
21409.0,443
8104.0,443
6076.0,443
5819.0,443
7632.0,441
7203.0,441
16354.0,441
20882.0,441
2114.0,440
12828.0,440
17401.0,440
8088.0,439
19015.0,438
11570.0,438
10550.0,438
6084.0,438
7712.0,437
8879.0,437
17222.0,437
18840.0,437
12184.0,437
8055.0,437
7747.0,437
7481.0,436
16648.0,436
16127.0,435
17801.0,435
20194.0,434
20851.0,433
19522.0,432
19330.0,432
17866.0,432
14020.0,431
3833.0,430
17111.0,430
8638.0,430
2132.0,429
11552.0,429
22206.0,428
19425.0,428
6830.0,427
18036.0,427
15330.0,426
17847.0,425
12771.0,425
6019.0,425
2865.0,425
18966.0,425
